,stationname,cluster,ID,lat,lon,track_id,Area
287,051-0365_E,50,051-0365,32.07981,-81.2689,001-0185,
288,135-0241_E,108,135-0241,33.9627,-84.0797,001-0185,
289,135-0241_W,108,135-0241,33.9627,-84.0797,001-0185,
290,059-0014_W,21,059-0014,33.96943,-83.42022,001-0185,
291,059-0014_E,21,059-0014,33.96943,-83.42022,001-0185,
292,285-0234_N,4,285-0234,33.01971,-84.9871,001-0185,
293,285-0234_S,4,285-0234,33.01971,-84.9871,001-0185,
294,029-0189_W,11,029-0189,32.19947,-81.48454,001-0185,
295,029-0189_E,11,029-0189,32.19947,-81.48454,001-0185,
296,067-2623_W,93,067-2623,33.92583,-84.51865,001-0185,
297,067-2623_E,93,067-2623,33.92583,-84.51865,001-0185,
298,051-0509_S,43,051-0509,32.01574,-81.11022,001-0185,
299,051-0509_N,43,051-0509,32.01574,-81.11022,001-0185,
300,021-0334_N,67,021-0334,32.78161,-83.67782,001-0185,
301,021-0334_S,67,021-0334,32.78161,-83.67782,001-0185,
302,209-0123_E,76,209-0123,32.20117,-82.4925,001-0185,
303,209-0123_W,76,209-0123,32.20117,-82.4925,001-0185,
304,021-0158_S,14,021-0158,32.73613,-83.65566,001-0185,
305,021-0158_N,14,021-0158,32.73613,-83.65566,001-0185,
306,021-0116_W,166,021-0116,32.80632,-83.84093,001-0185,
307,021-0116_E,166,021-0116,32.80632,-83.84093,001-0185,
308,121-0863_W,170,121-0863,34.02513,-84.29591,001-0185,
309,121-0863_E,170,121-0863,34.02513,-84.29591,001-0185,
310,177-0005_S,33,177-0005,31.72572,-84.17222,001-0185,
311,177-0005_N,33,177-0005,31.72572,-84.17222,001-0185,
312,067-2429_W,1,067-2429,33.94111,-84.5269,001-0185,
313,067-2429_E,1,067-2429,33.94111,-84.5269,001-0185,
314,245-0227_E,5,245-0227,33.43621,-82.071,001-0185,
315,245-0227_W,5,245-0227,33.43621,-82.071,001-0185,
316,115-0081_E,133,115-0081,34.20732,-85.06112,001-0185,
317,115-0081_W,133,115-0081,34.20732,-85.06112,001-0185,
318,121-0178_N,118,121-0178,33.54851,-84.60604,001-0185,
319,121-0178_S,118,121-0178,33.54851,-84.60604,001-0185,
320,113-0316_N,17,113-0316,33.39744,-84.55165,001-0185,
321,113-0316_S,17,113-0316,33.39744,-84.55165,001-0185,
322,185-0227_S,64,185-0227,30.62671,-83.17308,001-0185,
323,185-0227_N,64,185-0227,30.62671,-83.17308,001-0185,
324,021-0587_E,32,021-0587,32.82013,-83.67179,001-0185,
325,021-0587_W,32,021-0587,32.82013,-83.67179,001-0185,
326,001-0185_S,153,001-0185,31.60285,-82.30816,001-0185,
327,001-0185_N,153,001-0185,31.60285,-82.30816,001-0185,
328,021-w334_N,32,021-w334,32.77959,-83.68055,001-0185,
329,021-w334_S,32,021-w334,32.77959,-83.68055,001-0185,
330,059-0611_E,21,059-0611,33.97155,-83.31554,001-0185,
